global_acc_list,global_loss_list
0.8964285714285715,"tf.Tensor(1.6103048, shape=(), dtype=float32)"
0.8935714285714286,"tf.Tensor(1.6095054, shape=(), dtype=float32)"
0.9028571428571428,"tf.Tensor(1.6067476, shape=(), dtype=float32)"
0.9057142857142857,"tf.Tensor(1.603191, shape=(), dtype=float32)"
0.9054761904761904,"tf.Tensor(1.6035016, shape=(), dtype=float32)"
0.8995238095238095,"tf.Tensor(1.610779, shape=(), dtype=float32)"
0.8973809523809524,"tf.Tensor(1.6094537, shape=(), dtype=float32)"
0.9128571428571428,"tf.Tensor(1.5985638, shape=(), dtype=float32)"
0.9197619047619048,"tf.Tensor(1.593218, shape=(), dtype=float32)"
0.8592857142857143,"tf.Tensor(1.6515487, shape=(), dtype=float32)"
0.8473809523809523,"tf.Tensor(1.6504096, shape=(), dtype=float32)"
0.89,"tf.Tensor(1.6120511, shape=(), dtype=float32)"
0.9126190476190477,"tf.Tensor(1.6010659, shape=(), dtype=float32)"
0.9045238095238095,"tf.Tensor(1.6059037, shape=(), dtype=float32)"
0.8916666666666667,"tf.Tensor(1.615584, shape=(), dtype=float32)"
0.9128571428571428,"tf.Tensor(1.5944792, shape=(), dtype=float32)"
0.9054761904761904,"tf.Tensor(1.6035017, shape=(), dtype=float32)"
0.883095238095238,"tf.Tensor(1.6247345, shape=(), dtype=float32)"
0.9207142857142857,"tf.Tensor(1.5923893, shape=(), dtype=float32)"
0.9071428571428571,"tf.Tensor(1.6045033, shape=(), dtype=float32)"
0.905,"tf.Tensor(1.6027985, shape=(), dtype=float32)"
0.9114285714285715,"tf.Tensor(1.6039983, shape=(), dtype=float32)"
0.9083333333333333,"tf.Tensor(1.5979888, shape=(), dtype=float32)"
0.914047619047619,"tf.Tensor(1.592817, shape=(), dtype=float32)"
0.9202380952380952,"tf.Tensor(1.5911317, shape=(), dtype=float32)"
0.8907142857142857,"tf.Tensor(1.613608, shape=(), dtype=float32)"
0.8790476190476191,"tf.Tensor(1.6257955, shape=(), dtype=float32)"
0.9107142857142857,"tf.Tensor(1.5969301, shape=(), dtype=float32)"
0.8902380952380953,"tf.Tensor(1.6176462, shape=(), dtype=float32)"
0.8823809523809524,"tf.Tensor(1.6306915, shape=(), dtype=float32)"
0.92,"tf.Tensor(1.5914133, shape=(), dtype=float32)"
0.9152380952380952,"tf.Tensor(1.5991802, shape=(), dtype=float32)"
0.9066666666666666,"tf.Tensor(1.6027184, shape=(), dtype=float32)"
0.9064285714285715,"tf.Tensor(1.5998212, shape=(), dtype=float32)"
0.9171428571428571,"tf.Tensor(1.594105, shape=(), dtype=float32)"
0.8923809523809524,"tf.Tensor(1.619841, shape=(), dtype=float32)"
0.8695238095238095,"tf.Tensor(1.6333605, shape=(), dtype=float32)"
0.9092857142857143,"tf.Tensor(1.5999732, shape=(), dtype=float32)"
